przystanek;nr_przystanku;linia;dzień;godzina docelowa
7085;02;190;2024-07-06;18:51:00
7085;02;190;2024-07-06;19:01:00
7085;02;190;2024-07-06;19:11:00
7085;02;190;2024-07-06;19:21:00
7085;02;190;2024-07-06;19:31:00
7085;02;190;2024-07-06;19:41:00
7085;02;190;2024-07-06;19:51:00
7085;02;190;2024-07-06;20:01:00
7085;02;190;2024-07-06;20:13:00
7085;02;190;2024-07-06;20:28:00
7085;02;190;2024-07-06;20:43:00
7085;02;190;2024-07-06;20:58:00
7085;02;190;2024-07-06;21:13:00
7085;02;190;2024-07-06;21:28:00
7085;02;190;2024-07-06;21:43:00
7085;02;190;2024-07-06;21:58:00
7085;02;190;2024-07-06;22:18:00
7085;02;190;2024-07-06;22:48:00
7085;02;190;2024-07-06;23:18:00
7099;10;190;2024-07-06;04:46:00
7099;10;190;2024-07-06;05:16:00
7099;10;190;2024-07-06;05:41:00
7099;10;190;2024-07-06;06:01:00
7099;10;190;2024-07-06;06:17:00
7099;10;190;2024-07-06;06:32:00
7099;10;190;2024-07-06;06:47:00
7099;10;190;2024-07-06;07:02:00
7099;10;190;2024-07-06;07:17:00
7099;10;190;2024-07-06;07:29:00
7099;10;190;2024-07-06;07:39:00
7099;10;190;2024-07-06;07:49:00
7099;10;190;2024-07-06;07:59:00
7099;10;190;2024-07-06;08:09:00
7099;10;190;2024-07-06;08:20:00
7099;10;190;2024-07-06;08:30:00
7099;10;190;2024-07-06;08:40:00
7099;10;190;2024-07-06;08:50:00
7099;10;190;2024-07-06;09:00:00
7099;10;190;2024-07-06;09:10:00
7099;10;190;2024-07-06;09:20:00
7099;10;190;2024-07-06;09:30:00
7099;10;190;2024-07-06;09:40:00
7099;10;190;2024-07-06;09:50:00
7099;10;190;2024-07-06;10:00:00
7099;10;190;2024-07-06;10:10:00
7099;10;190;2024-07-06;10:20:00
7099;10;190;2024-07-06;10:30:00
7099;10;190;2024-07-06;10:40:00
7099;10;190;2024-07-06;10:50:00
7099;10;190;2024-07-06;11:00:00
7099;10;190;2024-07-06;11:10:00
7099;10;190;2024-07-06;11:20:00
7099;10;190;2024-07-06;11:30:00
7099;10;190;2024-07-06;11:40:00
7099;10;190;2024-07-06;11:50:00
7099;10;190;2024-07-06;12:00:00
7099;10;190;2024-07-06;12:10:00
7099;10;190;2024-07-06;12:20:00
7099;10;190;2024-07-06;12:30:00
7099;10;190;2024-07-06;12:40:00
7099;10;190;2024-07-06;12:50:00
7099;10;190;2024-07-06;13:00:00
7099;10;190;2024-07-06;13:10:00
7099;10;190;2024-07-06;13:20:00
7099;10;190;2024-07-06;13:30:00
7099;10;190;2024-07-06;13:40:00
7099;10;190;2024-07-06;13:50:00
7099;10;190;2024-07-06;14:00:00
7099;10;190;2024-07-06;14:10:00
7099;10;190;2024-07-06;14:20:00
7099;10;190;2024-07-06;14:30:00
7099;10;190;2024-07-06;14:40:00
7099;10;190;2024-07-06;14:50:00
7099;10;190;2024-07-06;15:00:00
7099;10;190;2024-07-06;15:10:00
7099;10;190;2024-07-06;15:20:00
7099;10;190;2024-07-06;15:30:00
7099;10;190;2024-07-06;15:40:00
7099;10;190;2024-07-06;15:50:00
7099;10;190;2024-07-06;16:00:00
7099;10;190;2024-07-06;16:10:00
7099;10;190;2024-07-06;16:20:00
7099;10;190;2024-07-06;16:30:00
7099;10;190;2024-07-06;16:40:00
7099;10;190;2024-07-06;16:50:00
7099;10;190;2024-07-06;17:00:00
7099;10;190;2024-07-06;17:10:00
7099;10;190;2024-07-06;17:20:00
7099;10;190;2024-07-06;17:30:00
7099;10;190;2024-07-06;17:40:00
7099;10;190;2024-07-06;17:50:00
7099;10;190;2024-07-06;18:00:00
7099;10;190;2024-07-06;18:10:00
7099;10;190;2024-07-06;18:19:00
7099;10;190;2024-07-06;18:29:00
7099;10;190;2024-07-06;18:39:00
7099;10;190;2024-07-06;18:49:00
7099;10;190;2024-07-06;18:59:00
7099;10;190;2024-07-06;19:09:00
7099;10;190;2024-07-06;19:19:00
7099;10;190;2024-07-06;19:29:00
7099;10;190;2024-07-06;19:39:00
7099;10;190;2024-07-06;19:49:00
7099;10;190;2024-07-06;19:59:00
7099;10;190;2024-07-06;20:11:00
7099;10;190;2024-07-06;20:26:00
7099;10;190;2024-07-06;20:41:00
7099;10;190;2024-07-06;20:56:00
7099;10;190;2024-07-06;21:11:00
7099;10;190;2024-07-06;21:26:00
7099;10;190;2024-07-06;21:41:00
7099;10;190;2024-07-06;21:56:00
7099;10;190;2024-07-06;22:16:00
7099;10;190;2024-07-06;22:46:00
7099;10;190;2024-07-06;23:16:00
5002;02;190;2024-07-06;04:50:00
5002;02;190;2024-07-06;05:20:00
5002;02;190;2024-07-06;05:45:00
5002;02;190;2024-07-06;06:05:00
5002;02;190;2024-07-06;06:21:00
5002;02;190;2024-07-06;06:36:00
5002;02;190;2024-07-06;06:51:00
5002;02;190;2024-07-06;07:06:00
5002;02;190;2024-07-06;07:21:00
5002;02;190;2024-07-06;07:33:00
5002;02;190;2024-07-06;07:43:00
5002;02;190;2024-07-06;07:53:00
5002;02;190;2024-07-06;08:03:00
5002;02;190;2024-07-06;08:13:00
5002;02;190;2024-07-06;08:24:00
5002;02;190;2024-07-06;08:34:00
5002;02;190;2024-07-06;08:44:00
5002;02;190;2024-07-06;08:54:00
5002;02;190;2024-07-06;09:04:00
5002;02;190;2024-07-06;09:14:00
5002;02;190;2024-07-06;09:24:00
5002;02;190;2024-07-06;09:34:00
5002;02;190;2024-07-06;09:44:00
5002;02;190;2024-07-06;09:54:00
5002;02;190;2024-07-06;10:04:00
5002;02;190;2024-07-06;10:14:00
5002;02;190;2024-07-06;10:24:00
5002;02;190;2024-07-06;10:34:00
5002;02;190;2024-07-06;10:44:00
5002;02;190;2024-07-06;10:54:00
5002;02;190;2024-07-06;11:04:00
